Name,Flow,Amount,Description (name),Description (flow)
DIESEL,DIESEL,1.0,Diesel,Diesel
DIESEL_S,DIESEL_S,1.0,,Stored diesel
DIE_STO,DIESEL,-1.0,Diesel to Storage,Diesel
DIE_STO,DIESEL_S,1.0,Diesel to Storage,Stored diesel
DIRECT_USAGE,CO2_C,-1.0,Direct Usage of stored CO2 ,Captured CO2
DIRECT_USAGE,ELECTRICITY_EHV,-0.119,Direct Usage of stored CO2 ,Electricity (extra high voltage)
DOGR,CO2_C,-1.0,Deep Oil Reservoir Gas Recovery,Captured CO2
DOGR,CO2_E,0.05,Deep Oil Reservoir Gas Recovery,CO2 emission (from nonconcentrated spot sources)
DOGR,CO2_S,0.95,Deep Oil Reservoir Gas Recovery,Sequestrated CO2
DOGR,ELECTRICITY_MV,-0.0001,Deep Oil Reservoir Gas Recovery,Electricity (medium voltage)
ELECTRICITY_EHV,CO2_E,0.4818,Electricity import,CO2 emission (from nonconcentrated spot sources)
ELECTRICITY_EHV,ELECTRICITY_EHV,1.0,Electricity import,Electricity (extra high voltage)
ELEC_EXPORT,ELECTRICITY_EHV,-1.0,Electricity exports,Electricity (extra high voltage)
ELEC_S,ELEC_S,1.0,,Stored electricity
ELEC_STO,ELECTRICITY_LV,-1.0,Electricity Storage,Electricity (low voltage)
ELEC_STO,ELEC_S,1.0,Electricity Storage,Stored electricity
EOR,CO2_C,-1.0,Enhanced Oil Recovery,Captured CO2
EOR,CO2_E,0.05,Enhanced Oil Recovery,CO2 emission (from nonconcentrated spot sources)
EOR,CO2_S,0.95,Enhanced Oil Recovery,Sequestrated CO2
EOR,ELECTRICITY_MV,-0.0001,Enhanced Oil Recovery,Electricity (medium voltage)
ETHANE,ETHANE,1.0,Ethane,Ethane
ETHANE_CRACKING,CO2_A,0.053,Ethane Cracking Process,CO2 emission (from carbon-intensive fields)
ETHANE_CRACKING,ETHANE,-1.577,Ethane Cracking Process,Ethane
ETHANE_CRACKING,ETHYLENE,1.0,Ethane Cracking Process,Ethylene
ETHANE_CRACKING,PROPYLENE,0.224,Ethane Cracking Process,Propylene
ETHANE_OXIDATION,ACETIC_ACID,1.0,Ethane Oxidation Process,Acetic acid
ETHANE_OXIDATION,CO2_A,0.152,Ethane Oxidation Process,CO2 emission (from carbon-intensive fields)
ETHANE_OXIDATION,ETHYLENE,-2.146,Ethane Oxidation Process,Ethylene
ETHANE_TO_ETHYLENE,CO2_A,0.09,Conversion of Ethane to Ethylene,CO2 emission (from carbon-intensive fields)
ETHANE_TO_ETHYLENE,ETHANE,-1.493,Conversion of Ethane to Ethylene,Ethane
ETHANE_TO_ETHYLENE,ETHYLENE,1.0,Conversion of Ethane to Ethylene,Ethylene
ETHANOL,ETHANOL,1.0,Ethanol,Ethanol
ETHANOL_TO_JETFUELS,CO2_A,0.192,Conversion of Ethanol to Jet Fuels,CO2 emission (from carbon-intensive fields)
ETHANOL_TO_JETFUELS,ETHANOL,-1.754,Conversion of Ethanol to Jet Fuels,Ethanol
ETHANOL_TO_JETFUELS,JETFUEL,1.0,Conversion of Ethanol to Jet Fuels,Jet fuel
ETHYLBENZENE,ETHYLBENZENE,1.0,Ethylbenzene,Ethylbenzene
ETHYLENE,ETHYLENE,1.0,Ethylene,Ethylene
ETHYLENE_POLYMERIZATION,CO2_C,-0.011,Ethylene Polymerization,Captured CO2
ETHYLENE_POLYMERIZATION,ETHYLENE,-1.031,Ethylene Polymerization,Ethylene
ETHYLENE_POLYMERIZATION,PE,1.0,Ethylene Polymerization,Polyethylene
FOOD_PROD,ELECTRICITY_MV,-0.61,Food Production,Electricity (medium voltage)
FOOD_PROD,FOOD,1.0,Food Production,Food
FOOD_PROD,HEAT_HIGH_T,-1.6,Food Production,Heat (high temperature)
FOOD_PROD_HP,ELECTRICITY_MV,-0.788,Food Production (heat pump),Electricity (medium voltage)
FOOD_PROD_HP,FOOD,1.0,Food Production (heat pump),Food
FOOD_PROD_HP,HEAT_HIGH_T,-0.009,Food Production (heat pump),Heat (high temperature)
FOOD_PROD_HR,ELECTRICITY_MV,-0.61,Food Production with Heat Recovery,Electricity (medium voltage)
FOOD_PROD_HR,FOOD,1.0,Food Production with Heat Recovery,Food
FOOD_PROD_HR,HEAT_HIGH_T,-1.285,Food Production with Heat Recovery,Heat (high temperature)
FT,BIO_DIESEL,1.0,Fischer-Tropsch Synthesis,Bio-diesel
FT,CO2_A,0.464,Fischer-Tropsch Synthesis,CO2 emission (from carbon-intensive fields)
