Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Light fuel oil,Flow,=1 * 3.6 / 42.6,kilogram,kilowatt hour,"Light fuel oil LHV (42.6 MJ/kg): (Engineering ToolBox, 2003)"
Liquified natural gas,Flow,=1 * 3.6 / 39,cubic meter,kilowatt hour,"liquified natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Methanol,Flow,=1 / 5.54,kilogram,kilowatt hour,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003)"
Natural gas,Flow,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Polyethylene,Flow,=1,kilogram,kilogram,None
Polyethylene terephthalate,Flow,=1,kilogram,kilogram,None
Phenol,Flow,=1 * 3.6 / 32.45,kilogram,kilowatt hour,"phenol heat of combustion (32.45 MJ/kg): (Engineering ToolBox, 2017)"
Polypropylene,Flow,=1,kilogram,kilogram,None
Propane,Flow,=1 * 3.6 / 46.4,kilogram,kilowatt hour,"Propane LHV (46.4 MJ/kg): (Engineering ToolBox, 2003)"
Propylene,Flow,=1 * 3.6 / 45.799,kilogram,kilowatt hour,"Propylene LHV (45.799 MJ/kg): (Wikipedia, 2023)"
Polystyrene,Flow,=1,kilogram,kilogram,None
Polyvinyl chloride,Flow,=1,kilogram,kilogram,None
Synthetic natural gas,Flow,=1 / (0.777 * 13.1),cubic meter,kilowatt hour,"natural gas LHV (13.1 kWh/kg), natural gas density (0.777 kg/m3): (Engineering ToolBox, 2003)"
Styrene,Flow,=1,kilogram,kilogram,None
Toluene,Flow,=1 * 3.6 / 42.43,kilogram,kilowatt hour,"Toluene heat of combustion (42.43 MJ/kg): (Engineering ToolBox, 2017)"
Uranium,Flow,=1 * 3.6 / (3900*1000),kilogram,kilowatt hour,"Nuclear fuel heat value (3900 GJ/kg) (World Nuclear Association, n.d.)"
Waste,Flow,=-1 * 3.6 / 12.35,kilogram,kilowatt hour,"Municipal solid waste LHV (12.35 MJ/kg): (Moret, 2017)"
Biogenic waste,Flow,=-1 * 3.6 / (6.087*0.95),kilogram,kilowatt hour,"Biowaste HHV (6.087 MJ/kg): (Wernet, 2016), HHV to LHV ratio (0.95): (Engineering ToolBox, 2003)"
Fossil waste,Flow,=-1 * 3.6 / 2.453,kilogram,kilowatt hour,"Refinery sludge LHV (2.453 MJ/kg): (Wernet, 2016)"
Wet biomass,Flow,=1 * 3.6 / (0.95*15),kilogram,kilowatt hour,"HHV manure (15 MJ/kg): (Marin-Batista, 2020), LHV-to-HHV ratio (0.95)"
Wood,Flow,=1 * 3.6 / 15.4,kilogram,kilowatt hour,"LHV wood (15.4 MJ/kg): (Engineering ToolBox, 2003)"
Xylene,Flow,=1 * 3.6 / 40.961,kilogram,kilowatt hour,"Xylene LHV (40.961 MJ/kg): (Wikipedia, 2023)"
Bio-ethanol,Flow,=1 * 3.6 / 31.58,kilogram,kilowatt hour,"Ethanol LHV (31.58 MJ/kg): (Wernet, 2016)"
Synthetic natural gas,Flow,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Heat (high temperature),Flow,=1 * 3.6,megajoule,kilowatt hour,None
Carbon dioxide,Flow,1,kilogram,kilogram,None
