Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Gasoline-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
Gasoline Hybrid Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Gasoline Hybrid Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
Plug-in Hybrid Gasoline-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Plug-in Hybrid Gasoline-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
Propane-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Propane-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
Tidal power,Construction,=8760*0.35 / 2.97 / 1000000,unit,kilowatt,"Yearly production (2.97 GWh/yr): (Thomson, 2019), capacity factor (0.35): (Kamidelivand, 2023)"
Tidal power,Operation,=1,kilowatt hour,kilowatt hour,None
Toluene,Resource,=1 * 3.6 / 42.43,kilogram,kilowatt hour,"Toluene heat of combustion (42.43 MJ/kg): (Engineering ToolBox, 2017)"
Extra High to High Voltage Transformer,Operation,1,kilowatt hour,kilowatt hour,None
High to Extra High Voltage Transformer,Operation,1,kilowatt hour,kilowatt hour,None
High to Medium Voltage Transformer,Operation,1,kilowatt hour,kilowatt hour,None
Low to Medium Voltage Transformer,Operation,1,kilowatt hour,kilowatt hour,None
Medium to High Voltage Transformer,Operation,1,kilowatt hour,kilowatt hour,None
Medium to Low Voltage Transformer,Operation,1,kilowatt hour,kilowatt hour,None
Diesel-Powered Train,Construction,=1 * 8760 * 0.275 / (343 * (20000000/40)),unit,person kilometer per hour,"distance over lifetime (20mio km), lifetime (40y): (Wernet, 2016), people per vehicle (343): (Schnidrig, 2020), capacity factor (0.275): (Limpens, 2021)"
Diesel-Powered Train,Operation,=1,person kilometer,person kilometer,None
Electric-Powered Train,Construction,=1 * 8760 * 0.275 / (343 * 400000),unit,person kilometer per hour,"yearly distance (400000 km), people per vehicle (343): (Schnidrig, 2020), capacity factor (0.275): (Limpens, 2021)"
Electric-Powered Train,Operation,=1,person kilometer,person kilometer,None
Diesel-Powered Freight Train,Construction,=(40 * 8760 * 0.342) / (9600000 * 20 * 26),unit,ton kilometer per hour,"Lifetime distance 9600000 km: (Spielmann, 2007); train composition 2 Locomotives:  (Schnidrig, 2020); Lifetime of train 40 years:  (Spielmann, 2007); 20 waggon per train: (Spielmann, 2007); Load per wagon: 26t  (Spielmann, 2007); capacity factor (0.342): (Limpens, 2021)"
Diesel-Powered Freight Train,Operation,1,ton kilometer,ton kilometer,None
Diesel-Powered Freight Train (locomotive),Construction,2,unit,unit,"2 locomotives per train (Spielmann, 2007)"
Diesel-Powered Freight Train (wagon),Construction,20,unit,unit,"20 wagon per train: (Spielmann, 2007); "
"Electric-Powered Freight Train (co-generation unit, components for electricity)",Construction,=(40 * 8760 * 0.342) / (9600000 * 20 * 26),unit,ton kilometer per hour,"Lifetime distance 9600000 km: (Spielmann, 2007); train composition 2 Locomotives:  (Schnidrig, 2020); Lifetime of train 40 years:  (Spielmann, 2007); 20 waggon per train: (Spielmann, 2007); Load per wagon: 26t  (Spielmann, 2007); capacity factor (0.342): (Limpens, 2021)"
"Electric-Powered Freight Train (co-generation unit, components for electricity)",Operation,1,ton kilometer,ton kilometer,None
Electric-Powered Freight Train (locomotive),Construction,2,unit,unit,"2 locomotives per train (Spielmann, 2007)"
Electric-Powered Freight Train (wagon),Construction,20,unit,unit,"20 wagon per train: (Spielmann, 2007); "
Hydrogen-Powered Freight Train,Construction,=(40 * 8760 * 0.342) / (9600000 * 20 * 26),unit,ton kilometer per hour,"Lifetime distance 9600000 km: (Spielmann, 2007); train composition 2 Locomotives:  (Schnidrig, 2020); Lifetime of train 40 years:  (Spielmann, 2007); 20 waggon per train: (Spielmann, 2007); Load per wagon: 26t  (Spielmann, 2007); capacity factor (0.342): (Limpens, 2021)"
